id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6612499,Rental unit in Ottawa · ★4.62 · 2 bedrooms · 1 bed · 1 shared bath,34602819,Christine,,Rideau-Vanier,45.42657,-75.67649,Private room,85,30,13,2022-09-05,0.13,12,364,0,
6853193,Guest suite in Ottawa · ★4.25 · 3 bedrooms · 4 beds · 1.5 baths,35911139,Chris,,Capital,45.4069,-75.67457,Entire home/apt,,30,76,2020-02-17,0.74,1,0,0,
6853805,Rental unit in Ottawa · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,26767280,Alison,,Rideau-Vanier,45.42528,-75.68075,Private room,63,30,17,2016-04-04,0.16,1,351,0,
6895354,Home in Ottawa · 4 bedrooms · 4 beds · 2 baths,36077804,Naomi,,Alta Vista,45.39074,-75.63323,Entire home/apt,,30,0,,,1,0,0,
6939755,Condo in Ottawa · ★4.82 · 2 bedrooms · 3 beds · 1.5 baths,18594118,Danielle,,College,45.34349,-75.76305,Entire home/apt,80,30,222,2020-04-11,2.16,1,0,0,
7025115,Rental unit in Ottawa · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,34602819,Christine,,Rideau-Vanier,45.42619,-75.67676,Private room,85,30,14,2023-09-05,0.14,12,231,2,
7052561,Townhouse in Ottawa · ★5.0 · 4 bedrooms · 4 beds · 3 baths,36869574,Claudette,,Somerset,45.40914,-75.71693,Entire home/apt,,4,14,2022-09-13,0.14,2,0,0,Exempt
7064475,Home in Ottawa · ★4.95 · 1 bedroom · 1 bed · 1 private bath,33836567,Linden,,Capital,45.39724,-75.69574,Private room,50,30,104,2023-12-15,1.02,2,275,3,
7182054,Rental unit in Ottawa · ★4.80 · 2 bedrooms · 3 beds · 2 baths,8729464,Elise,,Kitchissippi,45.39697,-75.71236,Entire home/apt,120,30,86,2023-11-02,0.85,1,304,3,
7256615,Home in Dunrobin · 3 bedrooms · 3 beds · 3 baths,35485441,Brenda,,West Carleton-March,45.47205,-76.03468,Entire home/apt,200,30,1,2021-12-07,0.04,1,363,0,
7279754,Home in Ottawa · ★4.79 · 1 bedroom · 1 bed · 1 private bath,29268749,Linda,,Bay,45.3682,-75.79825,Private room,90,2,102,2023-09-24,1.00,2,11,5,Exempt
7658921,Bed and breakfast in Ottawa · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,25461090,Irina,,Rideau-Vanier,45.42933,-75.67542,Private room,,1,47,2023-06-30,0.46,4,0,9,Exempt
7691538,Bed and breakfast in Ottawa · ★4.75 · 1 bedroom · 2 beds · 1 private bath,25461090,Irina,,Rideau-Vanier,45.42942,-75.67471,Private room,,1,16,2023-11-22,0.17,4,0,2,Exempt
7699251,Guest suite in Ottawa · ★4.47 · 1 bedroom · 1 bed · 1 bath,40441562,Andres And Raquel,,Somerset,45.41171655050414,-75.70287426884185,Entire home/apt,61,30,501,2023-06-23,5.16,3,110,2,
7713717,Townhouse in Ottawa · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,248064,Tasha,,Somerset,45.41047,-75.71049,Private room,103,2,128,2023-11-09,1.34,1,56,21,STR-827-217
7840014,Home in Ottawa · ★4.55 · 6 bedrooms · 5 beds · 2.5 baths,28096363,Andy Diane,,West Carleton-March,45.25667,-76.06605,Entire home/apt,469,30,29,2020-08-02,0.29,1,90,0,
7901417,Home in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,3582571,Maree And Geoff,,Rideau-Vanier,45.43635,-75.69262,Private room,59,31,44,2023-08-31,0.45,3,178,3,
7930822,Rental unit in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Rideau-Vanier,45.42223,-75.68672,Entire home/apt,115,31,5,2017-06-23,0.05,62,88,0,
7956313,Home in Ottawa · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,10424386,Darlene And Terry,,Kitchissippi,45.38996802264478,-75.72848029590875,Private room,50,30,64,2023-10-23,0.63,2,87,1,
8079065,Townhouse in Ottawa · ★4.75 · 1 bedroom · 1 shared bath,3214251,Luis,,Stittsville-Kanata West,45.28614,-75.92967,Private room,125,30,4,2017-12-10,0.04,1,365,0,
8082182,Townhouse in Ottawa · ★4.47 · 1 bedroom · 1 bed · 1.5 baths,42690265,Evan,,Gloucester-Southgate,45.35947,-75.63269,Private room,64,30,15,2017-07-01,0.17,2,0,0,
8295439,Rental unit in Ottawa · ★4.64 · 3 bedrooms · 3 beds · 1 bath,34602819,Christine,,Rideau-Vanier,45.42681,-75.67797,Entire home/apt,182,30,14,2023-10-28,0.14,12,363,3,
8541704,Home in Ottawa · ★4.85 · 1 bedroom · 1 bed · 1 private bath,44968309,Karin,,Gloucester-South Nepean,45.2768,-75.70773,Private room,55,1,270,2023-12-04,2.79,1,0,8,STR-837-276
8553623,Condo in Ottawa · ★4.70 · 1 bedroom · 1 bed · 1 bath,45025351,Ariel,,Somerset,45.41498,-75.70405,Entire home/apt,,30,10,2019-02-24,0.16,1,0,0,
8629757,Guest suite in Ottawa · ★4.85 · 2 bedrooms · 3 beds · 2 baths,45308226,Chuck & Iris,,West Carleton-March,45.39805,-75.95644,Entire home/apt,81,1,349,2023-12-06,3.75,1,0,60,STR-826-687
8669055,Bungalow in Ottawa · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,45540401,Jeremy,,Rideau-Goulbourn,45.14065,-75.71745,Private room,91,30,15,2019-12-13,0.17,1,365,0,
8701554,Home in Ottawa · 3 bedrooms · 2 beds · 2.5 baths,434822,Moe,,Kanata South,45.27897,-75.84697,Entire home/apt,543,30,0,,,1,364,0,
8782109,Guest suite in Ottawa · ★4.88 · 1 bedroom · 1 bed · 1 bath,3200011,Nadereh,,Knoxdale-Merivale,45.35055,-75.72065,Entire home/apt,91,7,57,2023-10-06,0.65,1,263,2,STR-836-466
8907149,Townhouse in Ottawa · ★4.94 · 1 bedroom · 1 bed · 1 private bath,46478423,Sue,,Rideau-Rockcliffe,45.4488,-75.62888,Private room,112,2,94,2023-09-06,0.97,1,347,3,STR-826-564
9165295,Guest suite in Ottawa · ★4.97 · 1 bedroom · 2 beds · 1 bath,47219726,Sonia,,Rideau-Vanier,45.43425,-75.68916,Entire home/apt,141,2,145,2023-12-16,1.47,1,356,41,STR-824-868
9167787,Home in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,6392708,Darren & Joseph,,Somerset,45.40502,-75.7032,Private room,,30,48,2019-11-17,0.59,1,0,0,
9232477,Home in Ottawa · ★4.50 · 4 bedrooms · 3 beds · 2.5 baths,28652031,Patricia,,Cumberland,45.45738,-75.46152,Entire home/apt,336,5,32,2023-09-22,0.51,1,180,7,STR-826-508
9251989,Home in Ottawa · ★5.0 · Studio · 1 bed · 0 shared baths,48071546,Sylvie,,Innes,45.46428,-75.51494,Private room,150,30,4,2019-05-30,0.05,1,365,0,
9289495,Townhouse in Ottawa · 1 bedroom · 1 bed · 1 bath,41255144,Felipe,,Rideau-Rockcliffe,45.42869,-75.66718,Entire home/apt,222,30,0,,,1,338,0,STR-279-249
9543487,Serviced apartment in Ottawa · ★4.80 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Somerset,45.41962,-75.69187,Entire home/apt,220,31,5,2023-04-08,0.05,62,74,1,
9564484,Rental unit in Ottawa · ★4.94 · Studio · 1 bed · 1 bath,48439550,Shahnaz,,Somerset,45.41177,-75.69382,Entire home/apt,60,365,18,2019-08-02,0.18,3,364,0,
9625671,Home in Ottawa · ★4.78 · 3 bedrooms · 4 beds · 2 baths,49790709,Nadia,,River,45.36876,-75.65915,Entire home/apt,143,2,54,2023-12-12,3.54,3,0,49,STR-828-724
9658742,Guest suite in Ottawa · 2 bedrooms · 2 beds · 1 bath,33119004,Sandra,,College,45.35979,-75.74972,Entire home/apt,142,30,2,2019-07-26,0.03,1,89,0,
9676599,Serviced apartment in Ottawa · ★3.60 · 1 bedroom · 1 bed · 1 bath,38459934,Corporate Stays,,Rideau-Vanier,45.4221,-75.68577,Entire home/apt,100,31,5,2020-11-24,0.05,62,89,0,
9715906,Rental unit in Ottawa · 1 bedroom · 1 bed · 1 bath,11422964,Jake,,Capital,45.37886,-75.67237,Entire home/apt,325,30,2,2016-03-11,0.02,1,0,0,
9736069,Home in Ottawa · 3 bedrooms · 3 beds · 2 baths,40911310,Alisa,,Kitchissippi,45.39308,-75.72638,Entire home/apt,90,30,2,2017-09-07,0.02,1,0,0,
9818875,Home in Ottawa · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,50577383,Ana,,Somerset,45.41206,-75.70542,Entire home/apt,175,30,10,2022-06-11,0.10,1,18,0,
9827788,Home in Ottawa · ★4.87 · 2 bedrooms · 1 bed · 1 private bath,50608153,Lyne,,Gloucester-South Nepean,45.25979,-75.72354,Private room,90,30,138,2022-05-31,1.43,2,365,0,
9828303,Home in Ottawa · ★4.46 · 1 bedroom · 1 bed · 1 private bath,40441562,Andres And Raquel,,Somerset,45.41287,-75.70272,Private room,68,1,475,2023-11-09,4.93,3,0,65,STR-827-626
9831528,Home in Ottawa · ★4.83 · 2 bedrooms · 2 beds · 1 private bath,50608153,Lyne,,Gloucester-South Nepean,45.26445,-75.72355,Private room,150,30,18,2022-06-13,0.19,2,365,0,
10042303,Rental unit in Ottawa · ★4.92 · 2 bedrooms · 1 bed · 1 shared bath,34602819,Christine,,Rideau-Vanier,45.42601,-75.67626,Private room,85,30,13,2023-12-16,0.14,12,213,3,
10050780,Rental unit in Ottawa · ★4.69 · 1 bedroom · 1 bed · 1 bath,1915465,Sunny,,Rideau-Vanier,45.43008,-75.691086,Entire home/apt,,30,26,2022-09-01,0.28,1,0,0,
10057041,Condo in Ottawa · ★4.82 · 1 bedroom · 1 bed · 1 bath,6699109,Corey,,Capital,45.39736,-75.68372,Entire home/apt,145,55,17,2016-10-26,0.18,2,320,0,
10309493,Home in Ottawa · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,7162634,Kathryn,,Capital,45.40016,-75.67787,Entire home/apt,,30,13,2018-08-12,0.14,2,0,0,
10343890,Rental unit in Ottawa · ★4.94 · 1 bedroom · 1 bed · 1 bath,2697550,Alex,,Rideau-Vanier,45.43132,-75.68601,Entire home/apt,117,5,186,2023-11-12,1.93,3,169,21,STR-828-720
10522052,Home in Ottawa · ★4.89 · 3 bedrooms · 3 beds · 1 private bath,34397646,Sisira,,Kanata North,45.32349,-75.93514,Private room,40,1,113,2023-08-20,1.23,1,0,9,STR-829-556
10535844,Condo in Ottawa · ★4.90 · 1 bedroom · 1 bed · 1 bath,12614130,Stephanie,,Beacon Hill-Cyrville,45.42434,-75.62668,Entire home/apt,85,182,92,2022-10-08,0.97,1,320,0,
10812124,Townhouse in Ottawa · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,50154863,Tarek,,Somerset,45.41308,-75.69792,Private room,70,3,146,2023-12-08,1.52,1,49,16,STR-826-502
10864169,Rental unit in Ottawa · ★4.80 · Studio · 1 bed · 1 bath,32302327,Edouard,,Rideau-Vanier,45.44426,-75.66933,Entire home/apt,65,30,15,2016-08-07,0.16,1,0,0,
10970111,Guest suite in Ottawa · ★4.71 · 1 bedroom · 1 bed · 1 bath,47889428,Joe & Norma  / Marcel,,Rideau-Rockcliffe,45.42425,-75.65569,Entire home/apt,82,2,361,2023-12-09,3.77,1,355,35,STR-824-134
