Player,Tm,vs,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Date
Draymond Green,GSW,@,HOU,W,20:43,2,4,.500,0,0,,0,1,.000,1,4,5,5,0,0,4,3,4,+2,1.8,2023-10-29
Tre Jones,SAS,@,LAC,L,20:02,1,4,.250,1,2,.500,2,2,1.000,0,2,2,4,1,0,4,3,5,0,1.8,2023-10-29
Robin Lopez,MIL,,ATL,L,5:37,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,1,0,2,+10,1.7,2023-10-29
Braxton Key,DEN,@,OKC,W,3:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0,1.3,2023-10-29
Moussa Diabaté,LAC,,SAS,W,4:50,0,0,,0,0,,0,0,,1,0,1,2,0,0,1,0,0,+10,1.1,2023-10-29
Gabe Vincent,LAL,@,SAC,L,31:34,1,3,.333,0,2,.000,0,0,,0,0,0,2,1,0,0,4,2,+4,1.1,2023-10-29
TyTy Washington,MIL,,ATL,L,3:14,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,+10,1.0,2023-10-29
Julian Champagnie,SAS,@,LAC,L,6:55,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,1,1,0,3,-13,0.9,2023-10-29
Andre Jackson,MIL,,ATL,L,6:37,0,1,.000,0,1,.000,0,0,,1,3,4,1,1,0,1,2,0,+5,0.8,2023-10-29
Jaden Springer,PHI,,POR,W,7:36,1,3,.333,0,0,,0,0,,1,1,2,2,0,1,1,4,2,-1,0.8,2023-10-29
Mohamed Bamba,PHI,,POR,W,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0.7,2023-10-29
Keldon Johnson,SAS,@,LAC,L,24:18,1,9,.111,1,5,.200,2,2,1.000,0,5,5,1,1,0,0,4,5,-27,0.7,2023-10-29
Sandro Mamukelashvili,SAS,@,LAC,L,6:55,0,0,,0,0,,0,0,,1,1,2,0,1,0,1,1,0,-13,0.6,2023-10-29
Zeke Nnaji,DEN,@,OKC,W,14:49,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,2,0,+12,0.5,2023-10-29
Paul Reed,PHI,,POR,W,17:03,1,5,.200,0,2,.000,0,0,,1,4,5,1,0,1,1,2,2,0,0.4,2023-10-29
Thanasis Antetokounmpo,MIL,,ATL,L,7:33,1,1,1.000,0,0,,0,0,,0,0,0,2,1,0,3,2,2,+14,0.3,2023-10-29
Trent Forrest,ATL,@,MIL,W,4:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-7,0.3,2023-10-29
Filip Petrušev,PHI,,POR,W,2:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3,0.3,2023-10-29
Blake Wesley,SAS,@,LAC,L,6:55,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,1,1,0,1,-13,0.3,2023-10-29
Kobe Bufkin,ATL,@,MIL,W,3:14,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,0,0,0,0,1,-10,0.2,2023-10-29
Dominick Barlow,SAS,@,LAC,L,4:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10,0.0,2023-10-29
Amir Coffey,LAC,,SAS,W,5:30,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,+10,0.0,2023-10-29
Kessler Edwards,SAC,,LAL,W,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0,2023-10-29
Justin Holiday,DEN,@,OKC,W,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,2023-10-29
Vasilije Micić,OKC,,DEN,L,14:10,1,3,.333,0,2,.000,0,0,,0,0,0,3,0,0,2,1,2,-9,0.0,2023-10-29
Olivier Sarr,OKC,,DEN,L,5:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0,2023-10-29
